S.no,Asset
1,"{'asset': 'FIT101', 'asset_name': 'FIT', 'asset_type': 'Flow Indicator Transmitter', 'asset_number': '101', 'asset_stage': 1}"
2,"{'asset': 'LIT101', 'asset_name': 'LIT', 'asset_type': 'Level Indicator Transmitter', 'asset_number': '101', 'asset_stage': 1}"
3,"{'asset': 'MV101', 'asset_name': 'MV', 'asset_type': 'Motorized Valve', 'asset_number': '101', 'asset_stage': 1}"
4,"{'asset': 'P101', 'asset_name': 'P', 'asset_type': 'Pump', 'asset_number': '101', 'asset_stage': 1}"
5,"{'asset': 'P102', 'asset_name': 'P', 'asset_type': 'Pump', 'asset_number': '102', 'asset_stage': 1}"
6,"{'asset': 'AIT201', 'asset_name': 'AIT', 'asset_type': 'Analyzer Indicator Transmitter', 'asset_number': '201', 'asset_stage': 2}"
7,"{'asset': 'AIT202', 'asset_name': 'AIT', 'asset_type': 'Analyzer Indicator Transmitter', 'asset_number': '202', 'asset_stage': 2}"
8,"{'asset': 'AIT203', 'asset_name': 'AIT', 'asset_type': 'Analyzer Indicator Transmitter', 'asset_number': '203', 'asset_stage': 2}"
9,"{'asset': 'FIT201', 'asset_name': 'FIT', 'asset_type': 'Flow Indicator Transmitter', 'asset_number': '201', 'asset_stage': 2}"
10,"{'asset': 'MV201', 'asset_name': 'MV', 'asset_type': 'Motorized Valve', 'asset_number': '201', 'asset_stage': 2}"
11,"{'asset': 'P201', 'asset_name': 'P', 'asset_type': 'Pump', 'asset_number': '201', 'asset_stage': 2}"
12,"{'asset': 'P202', 'asset_name': 'P', 'asset_type': 'Pump', 'asset_number': '202', 'asset_stage': 2}"
13,"{'asset': 'P203', 'asset_name': 'P', 'asset_type': 'Pump', 'asset_number': '203', 'asset_stage': 2}"
14,"{'asset': 'P204', 'asset_name': 'P', 'asset_type': 'Pump', 'asset_number': '204', 'asset_stage': 2}"
15,"{'asset': 'P205', 'asset_name': 'P', 'asset_type': 'Pump', 'asset_number': '205', 'asset_stage': 2}"
16,"{'asset': 'P206', 'asset_name': 'P', 'asset_type': 'Pump', 'asset_number': '206', 'asset_stage': 2}"
17,"{'asset': 'DPIT301', 'asset_name': 'DPIT', 'asset_type': 'Differential Pressure Indicator Transmitter', 'asset_number': '301', 'asset_stage': 3}"
18,"{'asset': 'FIT301', 'asset_name': 'FIT', 'asset_type': 'Flow Indicator Transmitter', 'asset_number': '301', 'asset_stage': 3}"
19,"{'asset': 'LIT301', 'asset_name': 'LIT', 'asset_type': 'Level Indicator Transmitter', 'asset_number': '301', 'asset_stage': 3}"
20,"{'asset': 'MV301', 'asset_name': 'MV', 'asset_type': 'Motorized Valve', 'asset_number': '301', 'asset_stage': 3}"
21,"{'asset': 'MV302', 'asset_name': 'MV', 'asset_type': 'Motorized Valve', 'asset_number': '302', 'asset_stage': 3}"
22,"{'asset': 'MV303', 'asset_name': 'MV', 'asset_type': 'Motorized Valve', 'asset_number': '303', 'asset_stage': 3}"
23,"{'asset': 'MV304', 'asset_name': 'MV', 'asset_type': 'Motorized Valve', 'asset_number': '304', 'asset_stage': 3}"
24,"{'asset': 'P301', 'asset_name': 'P', 'asset_type': 'Pump', 'asset_number': '301', 'asset_stage': 3}"
25,"{'asset': 'P302', 'asset_name': 'P', 'asset_type': 'Pump', 'asset_number': '302', 'asset_stage': 3}"
26,"{'asset': 'AIT401', 'asset_name': 'AIT', 'asset_type': 'Analyzer Indicator Transmitter', 'asset_number': '401', 'asset_stage': 4}"
27,"{'asset': 'AIT402', 'asset_name': 'AIT', 'asset_type': 'Analyzer Indicator Transmitter', 'asset_number': '402', 'asset_stage': 4}"
28,"{'asset': 'FIT401', 'asset_name': 'FIT', 'asset_type': 'Flow Indicator Transmitter', 'asset_number': '401', 'asset_stage': 4}"
29,"{'asset': 'LIT401', 'asset_name': 'LIT', 'asset_type': 'Level Indicator Transmitter', 'asset_number': '401', 'asset_stage': 4}"
30,"{'asset': 'P401', 'asset_name': 'P', 'asset_type': 'Pump', 'asset_number': '401', 'asset_stage': 4}"
31,"{'asset': 'P402', 'asset_name': 'P', 'asset_type': 'Pump', 'asset_number': '402', 'asset_stage': 4}"
32,"{'asset': 'P403', 'asset_name': 'P', 'asset_type': 'Pump', 'asset_number': '403', 'asset_stage': 4}"
33,"{'asset': 'P404', 'asset_name': 'P', 'asset_type': 'Pump', 'asset_number': '404', 'asset_stage': 4}"
34,"{'asset': 'UV401', 'asset_name': 'UV', 'asset_type': 'UV Disinfection Unit', 'asset_number': '401', 'asset_stage': 4}"
35,"{'asset': 'AIT501', 'asset_name': 'AIT', 'asset_type': 'Analyzer Indicator Transmitter', 'asset_number': '501', 'asset_stage': 5}"
36,"{'asset': 'AIT502', 'asset_name': 'AIT', 'asset_type': 'Analyzer Indicator Transmitter', 'asset_number': '502', 'asset_stage': 5}"
37,"{'asset': 'AIT503', 'asset_name': 'AIT', 'asset_type': 'Analyzer Indicator Transmitter', 'asset_number': '503', 'asset_stage': 5}"
38,"{'asset': 'AIT504', 'asset_name': 'AIT', 'asset_type': 'Analyzer Indicator Transmitter', 'asset_number': '504', 'asset_stage': 5}"
39,"{'asset': 'FIT501', 'asset_name': 'FIT', 'asset_type': 'Flow Indicator Transmitter', 'asset_number': '501', 'asset_stage': 5}"
40,"{'asset': 'FIT502', 'asset_name': 'FIT', 'asset_type': 'Flow Indicator Transmitter', 'asset_number': '502', 'asset_stage': 5}"
41,"{'asset': 'FIT503', 'asset_name': 'FIT', 'asset_type': 'Flow Indicator Transmitter', 'asset_number': '503', 'asset_stage': 5}"
42,"{'asset': 'FIT504', 'asset_name': 'FIT', 'asset_type': 'Flow Indicator Transmitter', 'asset_number': '504', 'asset_stage': 5}"
43,"{'asset': 'P501', 'asset_name': 'P', 'asset_type': 'Pump', 'asset_number': '501', 'asset_stage': 5}"
44,"{'asset': 'P502', 'asset_name': 'P', 'asset_type': 'Pump', 'asset_number': '502', 'asset_stage': 5}"
45,"{'asset': 'PIT501', 'asset_name': 'PIT', 'asset_type': 'Pressure Indicator Transmitter', 'asset_number': '501', 'asset_stage': 5}"
46,"{'asset': 'PIT502', 'asset_name': 'PIT', 'asset_type': 'Pressure Indicator Transmitter', 'asset_number': '502', 'asset_stage': 5}"
47,"{'asset': 'PIT503', 'asset_name': 'PIT', 'asset_type': 'Pressure Indicator Transmitter', 'asset_number': '503', 'asset_stage': 5}"
48,"{'asset': 'FIT601', 'asset_name': 'FIT', 'asset_type': 'Flow Indicator Transmitter', 'asset_number': '601', 'asset_stage': 6}"
49,"{'asset': 'P601', 'asset_name': 'P', 'asset_type': 'Pump', 'asset_number': '601', 'asset_stage': 6}"
50,"{'asset': 'P602', 'asset_name': 'P', 'asset_type': 'Pump', 'asset_number': '602', 'asset_stage': 6}"
51,"{'asset': 'P603', 'asset_name': 'P', 'asset_type': 'Pump', 'asset_number': '603', 'asset_stage': 6}"
